model,size,type,deaths,class,interval,MV,SV,roll,model years,exposure
Mitsubishi Mirage hatchback,1,car4d,72,4door,28-115,52,18,5,2014-17,"171,842"
Kia Rio,1,car4d,87,4door,40-134,51,38,0,2014-17,"204,326"
Hyundai Accent,1,car4d,116,4door,74-158,85,28,9,2014-17,"417,171"
Ford Fiesta,1,car4d,141,4door,94-189,98,46,13,2014-17,"357,492"
Volkswagen Golf,2,car4d,0,4door,0-34,0,0,0,2014-17,"108,084"
Nissan Leaf,2,car4d,5,4door,0-14,0,5,0,2015-17,"164,259"
Volkswagen GTI,2,car4d,11,4door,0-27,11,0,0,2014-17,"137,682"
Nissan Juke 2WD,2,car4d,12,4door,0-29,6,6,6,2014-17,"126,805"
Acura ILX,2,car4d,26,4door,0-56,20,5,0,2014-17,"162,116"
Mazda 3 hatchback,2,car4d,27,4door,7-46,12,16,2,2014-17,"348,619"
Mitsubishi Lancer 2WD,2,car4d,31,4door,3-58,25,6,0,2014-17,"124,110"
Mazda 3 sedan,2,car4d,39,4door,22-55,27,13,1,2014-17,"602,393"
Hyundai Elantra GT,2,car4d,44,4door,7-82,19,27,0,2016-17,"174,343"
Honda Civic,2,car4d,46,4door,29-62,30,15,4,2016-17,"912,043"
Chevrolet Cruze,2,car4d,49,4door,24-75,35,13,5,2017,"351,592"
Tovota Corolla,2,car4d,54,4door,27-81,40,15,3,2015-17,"309,773"
Subaru WRX,2,car4d,54,4door,25-83,31,24,4,2014-17,"196,935"
Nissan Juke 4WD,2,car4d,65,4door,2-127,22,48,0,2014-17,"115,704"
Ford Focus,2,car4d,68,4door,52-84,48,19,9,2014-17,"1,329,370"
Nissan Sentra,2,car4d,81,4door,65-96,53,26,11,2014-17,"1,950,927"
Nissan Versa,2,car4d,88,4door,66-111,49,42,14,2017,"828,218"
Hyundai Elantra,2,car4d,89,4door,44-133,71,15,9,2014-17,"267,872"
Kia Forte,2,car4d,89,4door,64-114,63,24,2,2014-17,"778,579"
Chevrolet Sonic,2,car4d,98,4door,64-132,64,34,10,2015-17,"418,163"
Subaru Legacy,3,car4d,14,4door,3-25,9,5,2,2014-17,"329,025"
Ford Fusion plug-in hybrid,3,car4d,15,4door,0-36,0,15,0,2014-17,"100,620"
Ford Fusion 4WD,3,car4d,22,4door,0-45,11,11,0,2014-17,"135,342"
Ford Fusion hybrid 2WD,3,car4d,34,4door,10-58,28,5,6,2014-17,"294,573"
Tovota Camry,3,car4d,34,4door,28-41,23,11,4,2014-17,"3,622,339"
Honda Accord,3,car4d,34,4door,26-41,24,9,3,2016-17,"3,203,032"
Kia Optima,3,car4d,37,4door,15-58,15,23,10,2014-17,"302,125"
